Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,energy_above_hull (meV/atom),formation_energy (eV/atom),num_of_atoms_host_Asite0,host_Asite0_Heat of Vaporization,host_Bsite0_at. wt.,host_Bsite0_Ionization Energy (kJ/mol),shannon_radii_AB_avg,Density_AB_avg,BCCefflatcnt_AB_avg,BCCvolume_padiff_AB_avg,GSenergy_pa_AB_avg,ICSDVolume_AB_avg,covalent radius_AB_avg,Ionization Energy (kJ/mol)_AB_avg,Electron Affinity (kJ/mol)_AB_avg,Atomic Volume (cm³/mol)_AB_avg,MendeleevNumber_AB_avg,First Ionization Potential (V)_AB_avg,thermal conductivity_AB_avg,at. wt._AB_diff,specific heat capacity_AB_diff,electrical conductivity_AB_diff,BCCefflatcnt_AB_ratio,Ionization Energy (kJ/mol)_AB_ratio,Heat of Vaporization_AB_ratio,Asite_BCCvolume_pa_weighted_avg,Asite_BCCvolume_padiff_weighted_avg,Asite_At. Radius   (angstroms)_weighted_avg,Asite_n_ws^third_weighted_avg,Bsite_ BP (K)_weighted_avg,Bsite_At. Radius   (angstroms)_weighted_avg,Bsite_Second Ionization Potential  (V)_weighted_avg,Bsite_electrical conductivity_weighted_avg,Asite_Ionic Radius (angstroms)_max,Asite_BCCenergy_pa_max,Asite_Atomic Radius (Å)_max,Asite_At. Radius   (angstroms)_max,Asite_Atomic Volume (cm³/mol)_max,Bsite_ BP (K)_max,Bsite_At. Radius   (angstroms)_max,Bsite_First Ionization Potential (V)_max,Bsite_Third Ionization Potential  (V)_max,Asite_shannon_radii_min,Asite_BCCenergy_pa_min,Asite_BCCenergydiff_min,Asite_GSmagmom_min,Asite_At. Radius   (angstroms)_min,Bsite_MendeleevNumber_min,Bsite_n_ws^third_min,Asite_shannon_radii_range,Asite_BCCefflatcnt_range,Asite_IsBoron_weighted_avg,Asite_IsHalogen_weighted_avg,Asite_IsPnictide_weighted_avg,Asite_IsRareEarth_weighted_avg,Asite_NfUnfilled_weighted_avg,Asite_NfValence_weighted_avg,Bsite_At. #_weighted_avg,Bsite_Period_weighted_avg,Bsite_IsMetal_weighted_avg,Bsite_NdUnfilled_weighted_avg,Bsite_NpUnfilled_weighted_avg,host_Asite0_IsBCC,host_Asite0_IsCubic,host_Asite0_IsAlkali,host_Asite0_OrbitalD,host_Asite0_NsValence,host_Bsite0_At. #,host_Bsite0_IsHexagonal,host_Bsite0_IsNoblegas,Asite_IsAlkali_max,Bsite_IsMetal_max
Ba2Sr6Mn4Fe4O24,Ba,Sr,,Mn,Fe,,O,5,86.69975106,-1.563023425,6,136.9,54.938,717.4,1.0545,5.22975,7.574043739,-0.489396552,-5.198007785,34.825,1.54875,638.1,-63.5,21.165,30.875,6.613375,25.62875,22.3275,-0.09425,-0.7,1.734942175,0.728448568,0.483890802,55.58,-0.99,2.5275,0.8325,2629,1.755,15.91,5.85,1.42,-1.67793991,2.22,2.76,39.24,3023,1.79,7.87,33.667,1.44,-1.92352226,0,0,2.45,52,1.61,0.17,0.597912362,0,0,0,0,0,0,25.5,4,1,4.5,0,0,0,0,0,2,25,0,0,1,1
Ba2Sr6Mn8O24,Ba,Sr,,Mn,,,O,4,113.8862036,-1.597024575,6,136.9,54.938,717.4,1.05075,5.12125,7.564481923,-0.483793103,-5.381778008,34.95,1.54875,627.625,-69.5,21.2375,30.125,6.504625,7.53375,22.55475,-0.102,1.975,1.74095319,0.749721216,0.626763448,55.58,-0.99,2.5275,0.8325,2235,1.79,15.64,0.5,1.42,-1.67793991,2.22,2.76,39.24,2235,1.79,7.435,33.667,1.44,-1.92352226,0,0,2.45,52,1.61,0.17,0.597912362,0,0,0,0,0,0,25,4,1,5,0,0,0,0,0,2,25,0,0,1,1
Ba2Sr6Ni8O24,Ba,Sr,,Ni,,,O,4,258.8280509,-0.801693367,6,136.9,58.6934,736.7,0.98125,5.85125,7.548635833,-0.49,-3.644657668,34.25,1.53875,637.275,-14,20.8375,34.625,6.604625,48.97375,20.67705,-0.084,-5.075,1.751007041,0.730080087,0.364834437,55.58,-0.99,2.5275,0.8325,3005,1.62,18.168,14.6,1.42,-1.67793991,2.22,2.76,39.24,3005,1.62,7.635,35.17,1.44,-1.92352226,0,0,2.45,61,1.75,0.17,0.597912362,0,0,0,0,0,0,28,4,1,2,0,0,0,0,0,2,28,0,0,1,1
Ba2Sr6V8O24,Ba,Sr,,V,,,O,4,42.13350699,-2.100668277,6,136.9,50.9415,650,1.03125,4.45625,7.767937663,-0.495,-5.341125728,35.75,1.57375,593.925,-44.5,21.9325,27.125,6.157125,18.97375,24.553,-0.1065,0.225,1.621420156,0.827461538,0.308316544,55.58,-0.99,2.5275,0.8325,3650,1.92,14.65,4,1.42,-1.67793991,2.22,2.76,39.24,3650,1.92,6.74,29.31,1.44,-1.92352226,0,0,2.45,46,1.64,0.17,0.597912362,0,0,0,0,0,0,23,4,1,7,0,0,0,0,0,2,23,0,0,1,1
Ba2Y6Co8O24,Ba,Y,,Co,,,O,4,113.4830544,-1.643965255,6,393.3,58.9332,758,0.869375,6.575,7.027355762,0.159375,-6.204859771,25.7375,1.435,672.8625,28.5,15.68,34.625,6.974,58.75,21.0393625,-0.0725,-7.925,1.552006497,0.775362797,0.884074471,40.295,0.12375,2.3925,1.11,3143,1.67,17.06,17.9,1.42,-1.92352226,2.22,2.76,39.24,3143,1.67,7.86,33.5,1.075,-6.34029752,0,0,2.27,58,1.75,0.535,2.013873573,0,0,0,0,0,0,27,4,1,3,0,0,0,0,1,2,27,1,0,1,1
Ba2Y6Cr8O24,Ba,Y,,Cr,,,O,4,101.755733,-2.163963566,6,393.3,51.996,652.8,0.879375,5.72,7.090097071,0.051875,-7.417523468,26.1875,1.445,620.2625,25.5,15.945,30.125,6.427,55.6,24.5079625,-0.0865,-2.925,1.51743225,0.900314032,0.972091311,40.295,0.12375,2.3925,1.11,2945,1.85,16.5,7.9,1.42,-1.92352226,2.22,2.76,39.24,2945,1.85,6.766,30.96,1.075,-6.34029752,0,0,2.27,49,1.73,0.535,2.013873573,0,0,0,0,0,0,24,4,1,5,0,0,0,0,1,2,24,0,0,1,1
Ba2Y6Fe8O24,Ba,Y,,Fe,,,O,4,84.72896518,-1.913356538,6,393.3,55.847,759.3,0.921375,6.062,7.0526201,0.061875,-6.807407378,26.0375,1.44,673.5125,5.5,15.88,33.125,6.979,48.85,22.5824625,-0.0865,-4.575,1.537896566,0.774035296,0.944277539,40.295,0.12375,2.3925,1.11,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,39.24,3023,1.72,7.87,30.651,1.075,-6.34029752,0,0,2.27,55,1.77,0.535,2.013873573,0,0,0,0,0,0,26,4,1,4,0,0,0,0,1,2,26,0,0,1,1
Ba2Y6Ga8O24,Ba,Y,,Ga,,,O,4,184.3874048,-2.066766973,6,393.3,69.723,578.8,0.914375,5.08,7.571951078,-0.396875,-4.170792849,29.9875,1.485,583.2625,8,18.23,42.625,6.0435,29.05,15.6444625,-0.0475,0.125,1.295745039,1.015419834,1.28885808,40.295,0.12375,2.3925,1.11,2478,1.81,20.51,1.8,1.42,-1.92352226,2.22,2.76,39.24,2478,1.81,5.999,30.71,1.075,-6.34029752,0,0,2.27,74,1.31,0.535,2.013873573,0,0,0,0,0,0,31,4,1,0,5,0,0,0,1,2,31,0,0,1,1
Ba2Y6Mn8O24,Ba,Y,,Mn,,,O,4,91.10598761,-2.029611338,6,393.3,54.938,717.4,0.913875,5.845,7.033496469,0.073081897,-7.174947823,26.2875,1.44,652.5625,-6.5,16.025,31.625,6.7615,12.66,23.0369625,-0.102,0.775,1.548553197,0.8192431,1.501888596,40.295,0.12375,2.3925,1.11,2235,1.79,15.64,0.5,1.42,-1.92352226,2.22,2.76,39.24,2235,1.79,7.435,33.667,1.075,-6.34029752,0,0,2.27,52,1.61,0.535,2.013873573,0,0,0,0,0,0,25,4,1,5,0,0,0,0,1,2,25,0,0,1,1
Ba2Y6Ni8O24,Ba,Y,,Ni,,,O,4,152.5708865,-1.38114738,6,393.3,58.6934,736.7,0.844375,6.575,7.017650379,0.066875,-5.437827483,25.5875,1.43,662.2125,49,15.625,36.125,6.8615,54.1,21.1592625,-0.084,-6.275,1.557495954,0.797780643,0.874238411,40.295,0.12375,2.3925,1.11,3005,1.62,18.168,14.6,1.42,-1.92352226,2.22,2.76,39.24,3005,1.62,7.635,35.17,1.075,-6.34029752,0,0,2.27,61,1.75,0.535,2.013873573,0,0,0,0,0,0,28,4,1,2,0,0,0,0,1,2,28,0,0,1,1
