Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,energy_above_hull (meV/atom),formation_energy (eV/atom),num_of_atoms_host_Asite0,host_Asite0_Heat of Vaporization,host_Bsite0_at. wt.,host_Bsite0_Ionization Energy (kJ/mol),shannon_radii_AB_avg,Density_AB_avg,BCCefflatcnt_AB_avg,BCCvolume_padiff_AB_avg,GSenergy_pa_AB_avg,ICSDVolume_AB_avg,covalent radius_AB_avg,Ionization Energy (kJ/mol)_AB_avg,Electron Affinity (kJ/mol)_AB_avg,Atomic Volume (cm³/mol)_AB_avg,MendeleevNumber_AB_avg,First Ionization Potential (V)_AB_avg,thermal conductivity_AB_avg,at. wt._AB_diff,specific heat capacity_AB_diff,electrical conductivity_AB_diff,BCCefflatcnt_AB_ratio,Ionization Energy (kJ/mol)_AB_ratio,Heat of Vaporization_AB_ratio,Asite_BCCvolume_pa_weighted_avg,Asite_BCCvolume_padiff_weighted_avg,Asite_At. Radius   (angstroms)_weighted_avg,Asite_n_ws^third_weighted_avg,Bsite_ BP (K)_weighted_avg,Bsite_At. Radius   (angstroms)_weighted_avg,Bsite_Second Ionization Potential  (V)_weighted_avg,Bsite_electrical conductivity_weighted_avg,Asite_Ionic Radius (angstroms)_max,Asite_BCCenergy_pa_max,Asite_Atomic Radius (Å)_max,Asite_At. Radius   (angstroms)_max,Asite_Atomic Volume (cm³/mol)_max,Bsite_ BP (K)_max,Bsite_At. Radius   (angstroms)_max,Bsite_First Ionization Potential (V)_max,Bsite_Third Ionization Potential  (V)_max,Asite_shannon_radii_min,Asite_BCCenergy_pa_min,Asite_BCCenergydiff_min,Asite_GSmagmom_min,Asite_At. Radius   (angstroms)_min,Bsite_MendeleevNumber_min,Bsite_n_ws^third_min,Asite_shannon_radii_range,Asite_BCCefflatcnt_range,Asite_IsBoron_weighted_avg,Asite_IsHalogen_weighted_avg,Asite_IsPnictide_weighted_avg,Asite_IsRareEarth_weighted_avg,Asite_NfUnfilled_weighted_avg,Asite_NfValence_weighted_avg,Bsite_At. #_weighted_avg,Bsite_Period_weighted_avg,Bsite_IsMetal_weighted_avg,Bsite_NdUnfilled_weighted_avg,Bsite_NpUnfilled_weighted_avg,host_Asite0_IsBCC,host_Asite0_IsCubic,host_Asite0_IsAlkali,host_Asite0_OrbitalD,host_Asite0_NsValence,host_Bsite0_At. #,host_Bsite0_IsHexagonal,host_Bsite0_IsNoblegas,Asite_IsAlkali_max,Bsite_IsMetal_max
La8Mn2Co6O24,La,,,Mn,Co,,O,4,29.94908075,-1.943814971,8,399.57,58.9332,758,0.956125,7.3425,6.971232667,0.362176724,-6.246489678,24.3875,1.20625,642.975,51.25,13.80125,34.75,6.666875,45.2275,40.48555,-0.122875,-5.825,1.530214612,0.719529317,1.193066794,37.47,0.5725,2.74,1.18,2916,1.7,16.705,13.55,1.16,-4.79586452,1.877,2.74,20.73,3143,1.79,7.86,33.667,1.36,-4.79586452,0.131681665,0,2.74,52,1.61,0,0,0,0,0,1,0,0,26.5,4,1,3.5,0,0,0,0,1,2,27,1,0,0,1
La8Mn2Cr6O24,La,,,Mn,Cr,,O,4,0,-2.377242517,8,399.57,51.996,652.8,0.963625,6.70125,7.018288649,0.281551724,-7.155987451,24.725,1.21375,603.525,49,14,31.375,6.256625,42.865,43.087,-0.133375,-2.075,1.504518922,0.804394947,1.290767541,37.47,0.5725,2.74,1.18,2767.5,1.835,16.285,6.05,1.16,-4.79586452,1.877,2.74,20.73,2945,1.85,7.435,33.667,1.36,-4.79586452,0.131681665,0,2.74,49,1.61,0,0,0,0,0,1,0,0,24.25,4,1,5,0,0,0,0,1,2,24,0,0,0,1
La8Mn2Fe6O24,La,,,Mn,Fe,,O,4,27.03043917,-2.147419933,8,399.57,55.847,759.3,0.995125,6.95775,6.990180921,0.289051724,-6.698400384,24.6125,1.21,643.4625,34,13.95125,33.625,6.670625,37.8025,41.642875,-0.133375,-3.3125,1.519762771,0.718592462,1.260234656,37.47,0.5725,2.74,1.18,2826,1.7375,16.045,8.525,1.16,-4.79586452,1.877,2.74,20.73,3023,1.79,7.87,33.667,1.36,-4.79586452,0.131681665,0,2.74,52,1.61,0,0,0,0,0,1,0,0,25.75,4,1,4.25,0,0,0,0,1,2,26,0,0,0,1
La8Mn2Ga6O24,La,,,Mn,Ga,,O,4,7.745588477,-2.322170885,8,399.57,69.723,578.8,0.989875,6.22125,7.379679154,-0.055010776,-4.720939487,27.575,1.24375,575.775,35.875,15.71375,40.75,5.969,22.9525,36.439375,-0.104125,0.2125,1.332654003,0.877170104,1.617823306,37.47,0.5725,2.74,1.18,2417.25,1.805,19.2925,1.475,1.16,-4.79586452,1.877,2.74,20.73,2478,1.81,7.435,33.667,1.36,-4.79586452,0.131681665,0,2.74,52,1.31,0,0,0,0,0,1,0,0,29.5,4,1,1.25,3.75,0,0,0,1,2,31,0,0,0,1
La8Mn2Ni6O24,La,,,Mn,Ni,,O,4,69.26938771,-1.739141877,8,399.57,58.6934,736.7,0.937375,7.3425,6.96395363,0.292801724,-5.671215463,24.275,1.2025,634.9875,66.625,13.76,35.875,6.5825,41.74,40.575475,-0.1315,-4.5875,1.534268044,0.735234842,1.18194995,37.47,0.5725,2.74,1.18,2812.5,1.6625,17.536,11.075,1.16,-4.79586452,1.877,2.74,20.73,3005,1.79,7.635,35.17,1.36,-4.79586452,0.131681665,0,2.74,52,1.61,0,0,0,0,0,1,0,0,27.25,4,1,2.75,0,0,0,0,1,2,28,0,0,0,1
La8Mn2V6O24,La,,,Mn,V,,O,4,36.17951005,-2.40792781,8,399.57,50.9415,650,0.974875,6.29625,7.128430003,0.289051724,-6.943566508,25.4,1.22875,602.475,43.75,14.58125,30.25,6.246875,19.24,43.4824375,-0.148375,-0.6125,1.447620752,0.806928095,1.024643553,37.47,0.5725,2.74,1.18,3296.25,1.8875,14.8975,3.125,1.16,-4.79586452,1.877,2.74,20.73,3650,1.92,7.435,33.667,1.36,-4.79586452,0.131681665,0,2.74,46,1.61,0,0,0,0,0,1,0,0,23.5,4,1,6.5,0,0,0,0,1,2,23,0,0,0,1
La8Mn4Co4O24,La,,,Mn,Co,,O,4,26.7022126,-2.055407742,8,399.57,54.938,717.4,0.96725,7.16,6.972767844,0.340603448,-6.489011691,24.525,1.2075,637.9,42.5,13.8875,34,6.61375,33.705,40.98495,-0.13025,-3.65,1.529362461,0.729429307,1.347531364,37.47,0.5725,2.74,1.18,2689,1.73,16.35,9.2,1.16,-4.79586452,1.877,2.74,20.73,3143,1.79,7.86,33.667,1.36,-4.79586452,0.131681665,0,2.74,52,1.61,0,0,0,0,0,1,0,0,26,4,1,4,0,0,0,0,1,2,25,0,0,0,1
La8Mn4Cr4O24,La,,,Mn,Cr,,O,4,0,-2.331426772,8,399.57,54.938,717.4,0.97225,6.7325,7.004138498,0.286853448,-7.09534354,24.75,1.2125,611.6,41,14.02,31.75,6.34025,32.13,42.71925,-0.13725,-1.15,1.512154649,0.785432784,1.428975038,37.47,0.5725,2.74,1.18,2590,1.82,16.07,4.2,1.16,-4.79586452,1.877,2.74,20.73,2945,1.85,7.435,33.667,1.36,-4.79586452,0.131681665,0,2.74,49,1.61,0,0,0,0,0,1,0,0,24.5,4,1,5,0,0,0,0,1,2,25,0,0,0,1
La8Mn4Fe4O24,La,,,Mn,Fe,,O,4,0,-2.213869383,8,399.57,54.938,717.4,0.99325,6.9035,6.985400013,0.291853448,-6.790285495,24.675,1.21,638.225,31,13.9875,33.25,6.61625,28.755,41.7565,-0.13725,-1.975,1.522386425,0.728787161,1.403871829,37.47,0.5725,2.74,1.18,2629,1.755,15.91,5.85,1.16,-4.79586452,1.877,2.74,20.73,3023,1.79,7.87,33.667,1.36,-4.79586452,0.131681665,0,2.74,52,1.61,0,0,0,0,0,1,0,0,25.5,4,1,4.5,0,0,0,0,1,2,25,0,0,0,1
La8Mn4Ga4O24,La,,,Mn,Ga,,O,4,0,-2.393529851,8,399.57,54.938,717.4,0.98975,6.4125,7.245065502,0.062478448,-5.471978231,26.65,1.2325,593.1,32.25,15.1625,38,6.1485,18.855,38.2875,-0.11775,0.375,1.391878771,0.830273106,1.679571248,37.47,0.5725,2.74,1.18,2356.5,1.8,18.075,1.15,1.16,-4.79586452,1.877,2.74,20.73,2478,1.81,7.435,33.667,1.36,-4.79586452,0.131681665,0,2.74,52,1.31,0,0,0,0,0,1,0,0,28,4,1,2.5,2.5,0,0,0,1,2,25,0,0,0,1
